ID;Name;Club;CA;Age;Nati;Position;Division
1;Lionel Messi;Inter Miami;185;36;ARG;AM (RC), ST (C);Major League Soccer
29;Sebastián Driussi;Austin FC;136;27;ARG;AM (LC), ST (C);Major League Soccer
31;Luciano Acosta;Cincinnati;135;29;ARG;AM (C);Major League Soccer
46;Thiago Almada;Atlanta United;140;22;ARG;AM (RLC);Major League Soccer
54;Emanuel Reynoso;Minnesota;133;27;ARG;M (LC), AM (C);Major League Soccer
66;Maxi Moralez;NYCFC;121;36;ARG;M/AM (C);Major League Soccer
85;Emiliano Rigoni;Austin FC;129;30;ARG;AM (RLC), ST (C);Major League Soccer
118;Cristian Espinoza;San Jose;129;28;ARG;AM (RL);Major League Soccer
156;Julián Carranza;Philadelphia;121;23;ARG;ST (C);Major League Soccer
173;Federico Redondo;Inter Miami;122;20;ARG;DM, M (C);Major League Soccer
180;Claudio Bravo;Portland;126;26;ARG;D/WB (L);Major League Soccer
198;Alan Velasco;FC Dallas;127;20;ARG;AM (RLC), ST (C);Major League Soccer
202;Facundo Farías;Inter Miami;125;20;ARG;AM (LC), ST (C);Major League Soccer
205;Joaquín Torres;Philadelphia;117;26;ARG;AM (RLC);Major League Soccer
211;Enzo Copetti;Charlotte FC;129;27;ARG;AM (R), ST (C);Major League Soccer
212;Martín Ojeda;Orlando City;132;24;ARG;M (L), AM (RLC);Major League Soccer
215;Franco Fragapane;Minnesota;121;30;ARG;M/AM (L);Major League Soccer
252;Luca Orellano;Cincinnati;124;23;ARG;AM (RL);Major League Soccer
257;David Ayala;Portland;113;20;ARG;DM, M (C);Major League Soccer
2;Sergio Busquets;Inter Miami;152;34;ESP;DM, M (C);Major League Soccer
3;Jordi Alba;Inter Miami;149;34;ESP;D/WB (L);Major League Soccer
12;Asier Illarramendi;FC Dallas;135;33;ESP;DM, M (C);Major League Soccer
32;Carles Gil;New England;136;30;ESP;M (L), AM (RLC), ST (C);Major League Soccer
39;Riqui Puig;LA Galaxy;132;23;ESP;M/AM (C);Major League Soccer
84;Andreu Fontàs;Sporting KC;117;33;ESP;D (C);Major League Soccer
157;Sergi Palencia;LAFC;125;27;ESP;D (RL), WB (R);Major League Soccer
190;Ilie Sánchez;LAFC;120;32;ESP;DM;Major League Soccer
239;Nacho Gil;New England;114;27;ESP;M (R), AM (RLC);Major League Soccer
4;Luis Suárez;Inter Miami;150;36;URU;ST (C);Major League Soccer
15;Martín Cáceres;LA Galaxy;122;36;URU;D (RLC);Major League Soccer
17;Facundo Torres;Orlando City;140;23;URU;AM (RLC);Major League Soccer
28;Gastón Brugman;LA Galaxy;118;30;URU;DM, M (C);Major League Soccer
30;Nicolás Lodeiro;Orlando City;131;34;URU;M (LC), AM (RLC);Major League Soccer
49;César Araújo;Orlando City;121;22;URU;DM, M (C);Major League Soccer
55;Diego Rossi;Columbus;130;25;URU;AM (RL), ST (C);Major League Soccer
93;Santiago Rodríguez;NYCFC;122;23;URU;AM (C);Major League Soccer
110;Cristian Olivera;LAFC;130;21;URU;AM (RL), ST (C);Major League Soccer
120;Joaquín Sosa;CF Montréal;110;21;URU;D (C);Major League Soccer
194;Mathías Laborda;Vancouver;117;23;URU;D (RC);Major League Soccer
200;Diego Fagúndez;LA Galaxy;120;28;URU;M/AM (RLC);Major League Soccer
5;Hugo Lloris;LAFC;135;36;FRA;GK;Major League Soccer
117;Rudy Camacho;Columbus;107;32;FRA;D (C);Major League Soccer
161;Remi Walter;Sporting KC;120;28;FRA;DM, M (C);Major League Soccer
189;Arnaud Souquet;Chicago;116;31;FRA;D/WB (R);Major League Soccer
201;Kévin Cabral;Colorado;116;23;FRA;M (R), AM (RL);Major League Soccer
6;Luis Muriel;Orlando City;138;32;COL;ST (C);Major League Soccer
34;Cucho Hernández;Columbus;137;24;COL;AM (RLC), ST (C);Major League Soccer
86;Cristian Arango;Real Salt Lake;128;28;COL;AM (C), ST (C);Major League Soccer
90;Yeimar Gómez Andrade;Seattle;127;31;COL;D (C);Major League Soccer
130;Eduard Atuesta;LAFC;124;26;COL;DM, M/AM (C);Major League Soccer
186;Diego Chará;Portland;117;37;COL;DM, M (C);Major League Soccer
188;Cristian Dájome;D.C. United;124;29;COL;AM (RLC), ST (C);Major League Soccer
